cycle,house_margin_national,verify,note
1946,-9.2,True,"approx. D 44.3 / R 53.5 - verify against Clerk of the House statistics"
1950,-0.1,True,"approx. D 48.9 / R 49.0"
1954,5.4,True,"approx. D 52.5 / R 47.1"
1958,12.6,True,"approx. D 56.2 / R 43.6"
1962,5.4,True,"approx. D 52.5 / R 47.1"
1966,2.6,True,"approx. D 50.9 / R 48.3"
1970,8.3,True,"approx. D 53.4 / R 45.1"
1974,17.1,True,"approx. D 57.6 / R 40.5"
1978,9.0,True,"approx. D 53.7 / R 44.7"
1982,11.9,True,"approx. D 55.2 / R 43.3"
1986,9.9,True,"approx. D 54.5 / R 44.6"
1990,7.9,True,"approx. D 52.9 / R 45.0"
1994,-7.0,True,"approx. D 45.4 / R 52.4"
