# Race ratings. Fill `rating` with: Safe D, Likely D, Lean D, Toss-up, Lean R, Likely R, Safe R
# (Tilt D / Tilt R and Solid D / Solid R are accepted). Leave blank rows blank. Delete sources you do not use.
# To activate: copy to data_store/manual/race_ratings_2026.csv
race_id,source,rating
H-AL-01,cook,
H-AL-01,sabato,
H-AL-01,inside,
H-AL-02,cook,
H-AL-02,sabato,
H-AL-02,inside,
H-AL-03,cook,
H-AL-03,sabato,
H-AL-03,inside,
H-AL-04,cook,
H-AL-04,sabato,
H-AL-04,inside,
H-AL-05,cook,
H-AL-05,sabato,
H-AL-05,inside,
H-AL-06,cook,
H-AL-06,sabato,
H-AL-06,inside,
H-AL-07,cook,
H-AL-07,sabato,
H-AL-07,inside,
H-AK-01,cook,
H-AK-01,sabato,
H-AK-01,inside,
H-AZ-01,cook,
H-AZ-01,sabato,
H-AZ-01,inside,
H-AZ-02,cook,
H-AZ-02,sabato,
H-AZ-02,inside,
H-AZ-03,cook,
H-AZ-03,sabato,
H-AZ-03,inside,
H-AZ-04,cook,
H-AZ-04,sabato,
H-AZ-04,inside,
H-AZ-05,cook,
H-AZ-05,sabato,
H-AZ-05,inside,
H-AZ-06,cook,
H-AZ-06,sabato,
H-AZ-06,inside,
H-AZ-07,cook,
H-AZ-07,sabato,
H-AZ-07,inside,
H-AZ-08,cook,
H-AZ-08,sabato,
H-AZ-08,inside,
H-AZ-09,cook,
H-AZ-09,sabato,
H-AZ-09,inside,
H-AR-01,cook,
H-AR-01,sabato,
H-AR-01,inside,
H-AR-02,cook,
H-AR-02,sabato,
H-AR-02,inside,
H-AR-03,cook,
H-AR-03,sabato,
H-AR-03,inside,
H-AR-04,cook,
H-AR-04,sabato,
H-AR-04,inside,
H-CA-01,cook,
H-CA-01,sabato,
H-CA-01,inside,
H-CA-02,cook,
H-CA-02,sabato,
H-CA-02,inside,
H-CA-03,cook,
H-CA-03,sabato,
H-CA-03,inside,
H-CA-04,cook,
H-CA-04,sabato,
H-CA-04,inside,
H-CA-05,cook,
H-CA-05,sabato,
H-CA-05,inside,
H-CA-06,cook,
H-CA-06,sabato,
H-CA-06,inside,
H-CA-07,cook,
H-CA-07,sabato,
H-CA-07,inside,
H-CA-08,cook,
H-CA-08,sabato,
H-CA-08,inside,
H-CA-09,cook,
H-CA-09,sabato,
H-CA-09,inside,
