race_id,office,rating_at_entry,note
H-CA-21,House,Likely D,
H-CA-45,House,Likely D,
H-IN-01,House,Likely D,
H-MI-08,House,Likely D,
H-MN-02,House,Likely D,
H-NH-01,House,Likely D,
H-NJ-09,House,Likely D,
H-NV-01,House,Likely D,
H-NV-04,House,Likely D,
H-NY-19,House,Likely D,
H-OH-13,House,Likely D,
H-VA-07,House,Likely D,
H-CA-13,House,Lean D,
H-CA-48,House,Lean D,
H-NE-02,House,Lean D,
H-NM-02,House,Lean D,
H-NV-03,House,Lean D,
H-NY-03,House,Lean D,
H-NY-04,House,Lean D,
H-OH-01,House,Lean D,
H-TX-28,House,Lean D,
H-AZ-01,House,Toss-up,
H-AZ-06,House,Toss-up,
H-CA-22,House,Toss-up,
H-CO-08,House,Toss-up,
H-FL-14,House,Toss-up,
H-FL-25,House,Toss-up,
H-IA-01,House,Toss-up,
H-IA-03,House,Toss-up,
H-MI-07,House,Toss-up,
H-MI-10,House,Toss-up,
H-NJ-07,House,Toss-up,
H-NY-17,House,Toss-up,
H-OH-09,House,Toss-up,
H-OH-07,House,Toss-up,
H-PA-07,House,Toss-up,
H-PA-08,House,Toss-up,
H-PA-10,House,Toss-up,
H-TX-34,House,Toss-up,
H-VA-02,House,Toss-up,
H-WA-03,House,Toss-up,
H-WI-03,House,Toss-up,
H-FL-22,House,Lean R,
H-IA-02,House,Lean R,
H-MI-04,House,Lean R,
H-NC-01,House,Lean R,
H-NC-11,House,Lean R,
H-TX-15,House,Lean R,
H-VA-01,House,Lean R,
H-AK-01,House,Likely R,
H-AL-02,House,Likely R,
H-AZ-02,House,Likely R,
H-CO-03,House,Likely R,
H-CO-05,House,Likely R,
H-FL-07,House,Likely R,
H-FL-09,House,Likely R,
H-FL-13,House,Likely R,
H-FL-27,House,Likely R,
H-ME-02,House,Likely R,
H-MN-01,House,Likely R,
H-MT-01,House,Likely R,
H-OH-10,House,Likely R,
H-OH-15,House,Likely R,
H-PA-01,House,Likely R,
H-SC-01,House,Likely R,
H-TX-23,House,Likely R,
H-TX-35,House,Likely R,
H-WI-01,House,Likely R,
H-NE-01,House,,added by hand; rating not yet supplied
H-TN-09,House,,added by hand; rating not yet supplied
S-TX,Senate,,
S-OH-special,Senate,,
S-ME,Senate,,
S-GA,Senate,,
S-NC,Senate,,
S-MI,Senate,,
S-NH,Senate,,
S-MN,Senate,,
S-IA,Senate,,
S-NE,Senate,,
S-AK,Senate,,
S-KS,Senate,,
S-SD,Senate,,
S-ID,Senate,,
S-MT,Senate,,
