date,approve,disapprove,net,provenance
2026-05-09,40.93482088473883,55.01711311122005,-14.082292226481215,fixture
2026-05-10,40.91734915550625,55.012524725875394,-14.095175570369143,fixture
2026-05-11,41.08372155464537,54.786747680019715,-13.703026125374343,fixture
2026-05-12,41.1496363296286,54.57157357210815,-13.421937242479551,fixture
2026-05-13,40.98549660017014,54.55999290411141,-13.574496303941274,fixture
2026-05-14,40.98497627375294,54.497506269053524,-13.512529995300582,fixture
2026-05-15,40.922629899654105,54.388488282522985,-13.46585838286888,fixture
2026-05-16,40.9374930519793,54.220286181875835,-13.282793129896532,fixture
2026-05-17,40.776674273560666,54.233395471818795,-13.45672119825813,fixture
2026-05-18,40.80085146124835,54.21986945042624,-13.419017989177888,fixture
2026-05-19,40.824389553122096,54.09740602819808,-13.273016475075984,fixture
2026-05-20,40.981952156265244,54.07045099794038,-13.088498841675133,fixture
2026-05-21,41.01361665791243,53.99500101221155,-12.981384354299124,fixture
2026-05-22,41.0646713240822,53.93401505961634,-12.869343735534144,fixture
2026-05-23,40.915359655585775,54.04750625444549,-13.132146598859713,fixture
2026-05-24,41.14063256805817,54.133400355627394,-12.992767787569221,fixture
2026-05-25,40.949068012262344,54.3975342400437,-13.448466227781353,fixture
2026-05-26,41.059248197844596,54.423546310465376,-13.36429811262078,fixture
2026-05-27,41.02625779045721,54.2896625676323,-13.26340477717509,fixture
2026-05-28,40.93819313866443,54.4005832420002,-13.462390103335771,fixture
2026-05-29,40.87256463757153,54.27720288465836,-13.40463824708683,fixture
2026-05-30,40.80536316950566,54.17724826736099,-13.371885097855326,fixture
2026-05-31,40.84338207873056,54.18273248602496,-13.339350407294397,fixture
2026-06-01,40.83237620920276,54.18349365040142,-13.35111744119866,fixture
2026-06-02,40.98063332550614,54.175210336315466,-13.194577010809326,fixture
2026-06-03,40.797672923161606,54.26131902769337,-13.463646104531762,fixture
2026-06-04,40.79736482669502,54.28955206815651,-13.492187241461487,fixture
2026-06-05,40.70815924786286,54.294208498814434,-13.586049250951575,fixture
2026-06-06,40.78574643260867,54.233014704250486,-13.447268271641818,fixture
2026-06-07,40.57394042839016,54.153833419688716,-13.579892991298557,fixture
2026-06-08,40.53957099338021,54.22810722483744,-13.688536231457228,fixture
2026-06-09,40.56058828611382,54.145535910729095,-13.584947624615275,fixture
2026-06-10,40.41216142771419,54.22332296477898,-13.811161537064791,fixture
2026-06-11,40.510682986000006,54.24021461807673,-13.729531632076721,fixture
2026-06-12,40.528554328911845,54.20326408250966,-13.674709753597817,fixture
2026-06-13,40.62924000598255,54.20552942221367,-13.57628941623112,fixture
2026-06-14,40.72515849185,54.21822550525785,-13.493067013407845,fixture
2026-06-15,40.627173035212536,54.191281379469466,-13.56410834425693,fixture
2026-06-16,40.54739345942358,54.24656128431493,-13.699167824891347,fixture
2026-06-17,40.52706021084639,54.31182789873053,-13.784767687884134,fixture
2026-06-18,40.601856183442706,54.33223930950965,-13.730383126066947,fixture
2026-06-19,40.686952912540264,54.23611218827005,-13.549159275729785,fixture
2026-06-20,40.61598442546939,54.246278996305996,-13.630294570836604,fixture
2026-06-21,40.55526470694386,54.05582686301787,-13.500562156074011,fixture
2026-06-22,40.47548241542721,54.03440153584281,-13.558919120415602,fixture
2026-06-23,40.417058592511474,54.331841397656866,-13.914782805145393,fixture
2026-06-24,40.393266254755,54.375796767332616,-13.982530512577618,fixture
2026-06-25,40.380084749985976,54.20929335659517,-13.829208606609193,fixture
