cycle,pres_party,approval,war_salience,weeks_since_escalation,verify,provenance
1946,D,33.0,0.1,,True,fixture
1950,D,39.0,0.9,,True,fixture
1954,R,61.0,0.1,,True,fixture
1958,R,57.0,0.1,,True,fixture
1962,D,61.0,0.3,,True,fixture
1966,D,44.0,0.8,,True,fixture
1970,R,58.0,0.8,,True,fixture
1974,R,54.0,0.1,,True,fixture
1978,D,49.0,0.05,,True,fixture
1982,R,42.0,0.05,,True,fixture
1986,R,63.0,0.1,,True,fixture
1990,R,58.0,0.6,,True,fixture
1994,D,46.0,0.05,,True,fixture
1998,D,66.0,0.1,,True,fixture
2002,R,63.0,0.7,,True,fixture
2006,R,38.0,0.8,,True,fixture
2010,D,45.0,0.4,,True,fixture
2014,D,42.0,0.3,,True,fixture
2018,R,40.0,0.1,,True,fixture
2022,D,40.0,0.3,,True,fixture
2026,R,40.77726939988242,0.5,,True,fixture
