cycle,feature_month,cpi_yoy_oct,unrate_oct,gasregw_oct,provenance
1946,1946-10-01,14.917127071823199,,,mirror
1950,1950-10-01,3.797468354430378,5.373184893569887,3.171818865237753,mirror
1954,1954-10-01,-0.7407407407407418,5.27644404622405,3.1503208991609,mirror
1958,1958-10-01,2.1201413427561766,4.982437052613817,3.0849860116919596,mirror
1962,1962-10-01,1.3333333333333197,4.917888044740514,3.0706417877201146,mirror
1966,1966-10-01,3.785488958990535,4.529971767787129,2.984438170619362,mirror
1970,1970-10-01,5.630026809651478,4.080362299426143,2.8845249554280317,mirror
1974,1974-10-01,12.061403508771939,3.862921139740096,2.8362046977200217,mirror
1978,1978-10-01,8.92857142857142,4.010734770716958,2.8690521712704355,mirror
1982,1982-10-01,5.139186295503206,3.99805925907496,2.8662353909055467,mirror
1986,1986-10-01,1.4719411223550916,4.506523247775865,2.9792273883946367,mirror
1990,1990-10-01,6.289808917197459,4.698799832162085,3.0219555182582414,mirror
1994,1994-10-01,2.6080988332189525,5.02985620257655,3.095523600572567,mirror
1998,1998-10-01,1.4851485148514865,4.611068093457079,3.002459576323796,mirror
2002,2002-10-01,2.025886325267323,4.197753781951359,2.910611951544747,mirror
2006,2006-10-01,1.3052208835341528,3.558310109545583,2.768513357676796,mirror
2010,2010-10-01,1.1721876055269531,3.402203647601636,2.7338230328003634,mirror
2014,2014-10-01,1.664340215632043,2.8551086312970164,2.612246362510448,mirror
2018,2018-10-01,2.5224699286070296,3.11889830089344,2.670866289087431,mirror
2022,2022-10-01,7.7454273308049215,3.2695602964160164,2.704346732536892,mirror
2026,2026-07-01,3.364825041479902,3.111773805624997,2.6692830679166657,mirror
