date,cpi,unrate,gasregw,cpi_yoy,provenance
1913-01-01,9.8,,,,mirror
1913-02-01,9.8,,,,mirror
1913-03-01,9.8,,,,mirror
1913-04-01,9.8,,,,mirror
1913-05-01,9.7,,,,mirror
1913-06-01,9.8,,,,mirror
1913-07-01,9.9,,,,mirror
1913-08-01,9.9,,,,mirror
1913-09-01,10.0,,,,mirror
1913-10-01,10.0,,,,mirror
1913-11-01,10.1,,,,mirror
1913-12-01,10.0,,,,mirror
1914-01-01,10.0,,,2.0408163265306145,mirror
1914-02-01,9.9,,,1.0204081632652962,mirror
1914-03-01,9.9,,,1.0204081632652962,mirror
1914-04-01,9.8,,,0.0,mirror
1914-05-01,9.9,,,2.0618556701031077,mirror
1914-06-01,9.9,,,1.0204081632652962,mirror
1914-07-01,10.0,,,1.0101010101010166,mirror
1914-08-01,10.2,,,3.0303030303030276,mirror
1914-09-01,10.2,,,2.0000000000000018,mirror
1914-10-01,10.1,,,1.0000000000000009,mirror
1914-11-01,10.2,,,0.990099009900991,mirror
1914-12-01,10.1,,,1.0000000000000009,mirror
1915-01-01,10.1,,,1.0000000000000009,mirror
1915-02-01,10.0,,,1.0101010101010166,mirror
1915-03-01,9.9,,,0.0,mirror
1915-04-01,10.0,,,2.0408163265306145,mirror
1915-05-01,10.1,,,2.020202020202011,mirror
1915-06-01,10.1,,,2.020202020202011,mirror
1915-07-01,10.1,,,1.0000000000000009,mirror
1915-08-01,10.1,,,-0.9803921568627416,mirror
1915-09-01,10.1,,,-0.9803921568627416,mirror
1915-10-01,10.2,,,0.990099009900991,mirror
1915-11-01,10.3,,,0.9803921568627638,mirror
1915-12-01,10.3,,,1.980198019801982,mirror
1916-01-01,10.4,,,2.970297029702973,mirror
1916-02-01,10.4,,,4.0000000000000036,mirror
1916-03-01,10.5,,,6.060606060606055,mirror
1916-04-01,10.6,,,6.000000000000005,mirror
1916-05-01,10.7,,,5.940594059405946,mirror
1916-06-01,10.8,,,6.930693069306937,mirror
1916-07-01,10.8,,,6.930693069306937,mirror
1916-08-01,10.9,,,7.920792079207928,mirror
1916-09-01,11.1,,,9.90099009900991,mirror
1916-10-01,11.3,,,10.784313725490202,mirror
1916-11-01,11.5,,,11.650485436893199,mirror
1916-12-01,11.6,,,12.621359223300965,mirror
1917-01-01,11.7,,,12.5,mirror
1917-02-01,12.0,,,15.384615384615374,mirror
1917-03-01,12.0,,,14.28571428571428,mirror
1917-04-01,12.6,,,18.867924528301884,mirror
1917-05-01,12.8,,,19.62616822429908,mirror
1917-06-01,13.0,,,20.370370370370374,mirror
1917-07-01,12.8,,,18.518518518518512,mirror
1917-08-01,13.0,,,19.266055045871553,mirror
1917-09-01,13.3,,,19.81981981981984,mirror
1917-10-01,13.5,,,19.469026548672552,mirror
1917-11-01,13.5,,,17.391304347826097,mirror
1917-12-01,13.7,,,18.10344827586208,mirror
1918-01-01,14.0,,,19.658119658119656,mirror
1918-02-01,14.1,,,17.500000000000004,mirror
1918-03-01,14.0,,,16.666666666666675,mirror
1918-04-01,14.2,,,12.698412698412698,mirror
1918-05-01,14.5,,,13.28125,mirror
1918-06-01,14.7,,,13.076923076923075,mirror
1918-07-01,15.1,,,17.96875,mirror
1918-08-01,15.4,,,18.461538461538463,mirror
1918-09-01,15.7,,,18.045112781954884,mirror
1918-10-01,16.0,,,18.518518518518512,mirror
1918-11-01,16.3,,,20.740740740740748,mirror
1918-12-01,16.5,,,20.43795620437956,mirror
1919-01-01,16.5,,,17.85714285714286,mirror
1919-02-01,16.2,,,14.893617021276583,mirror
1919-03-01,16.4,,,17.142857142857125,mirror
1919-04-01,16.7,,,17.6056338028169,mirror
1919-05-01,16.9,,,16.551724137931025,mirror
1919-06-01,16.9,,,14.965986394557817,mirror
1919-07-01,17.4,,,15.231788079470189,mirror
1919-08-01,17.7,,,14.935064935064934,mirror
1919-09-01,17.8,,,13.375796178343968,mirror
1919-10-01,18.1,,,13.125000000000009,mirror
1919-11-01,18.5,,,13.496932515337413,mirror
1919-12-01,18.9,,,14.545454545454529,mirror
1920-01-01,19.3,,,16.96969696969697,mirror
1920-02-01,19.5,,,20.370370370370374,mirror
1920-03-01,19.7,,,20.12195121951219,mirror
1920-04-01,20.3,,,21.556886227544926,mirror
1920-05-01,20.6,,,21.89349112426038,mirror
1920-06-01,20.9,,,23.66863905325445,mirror
1920-07-01,20.8,,,19.54022988505748,mirror
1920-08-01,20.3,,,14.689265536723163,mirror
1920-09-01,20.0,,,12.35955056179774,mirror
1920-10-01,19.9,,,9.944751381215443,mirror
1920-11-01,19.8,,,7.027027027027022,mirror
1920-12-01,19.4,,,2.645502645502651,mirror
1921-01-01,19.0,,,-1.5544041450777257,mirror
1921-02-01,18.4,,,-5.641025641025643,mirror
1921-03-01,18.3,,,-7.106598984771562,mirror
1921-04-01,18.1,,,-10.837438423645319,mirror
1921-05-01,17.7,,,-14.077669902912627,mirror
1921-06-01,17.6,,,-15.78947368421051,mirror
1921-07-01,17.7,,,-14.903846153846157,mirror
1921-08-01,17.7,,,-12.807881773399021,mirror
1921-09-01,17.5,,,-12.5,mirror
1921-10-01,17.5,,,-12.060301507537686,mirror
1921-11-01,17.4,,,-12.121212121212132,mirror
1921-12-01,17.3,,,-10.824742268041232,mirror
1922-01-01,16.9,,,-11.05263157894738,mirror
1922-02-01,16.9,,,-8.15217391304348,mirror
1922-03-01,16.7,,,-8.743169398907114,mirror
1922-04-01,16.7,,,-7.734806629834267,mirror
1922-05-01,16.7,,,-5.649717514124298,mirror
1922-06-01,16.7,,,-5.113636363636376,mirror
1922-07-01,16.8,,,-5.0847457627118615,mirror
1922-08-01,16.6,,,-6.214689265536711,mirror
1922-09-01,16.6,,,-5.142857142857138,mirror
1922-10-01,16.7,,,-4.571428571428571,mirror
1922-11-01,16.8,,,-3.44827586206895,mirror
1922-12-01,16.9,,,-2.3121387283237094,mirror
1923-01-01,16.8,,,-0.5917159763313529,mirror
1923-02-01,16.8,,,-0.5917159763313529,mirror
1923-03-01,16.8,,,0.5988023952095967,mirror
1923-04-01,16.9,,,1.197604790419149,mirror
1923-05-01,16.9,,,1.197604790419149,mirror
1923-06-01,17.0,,,1.7964071856287456,mirror
1923-07-01,17.2,,,2.3809523809523725,mirror
1923-08-01,17.1,,,3.0120481927710774,mirror
1923-09-01,17.2,,,3.6144578313252795,mirror
1923-10-01,17.3,,,3.592814371257491,mirror
1923-11-01,17.3,,,2.9761904761904656,mirror
1923-12-01,17.3,,,2.366863905325456,mirror
1924-01-01,17.3,,,2.9761904761904656,mirror
1924-02-01,17.2,,,2.3809523809523725,mirror
1924-03-01,17.1,,,1.7857142857142794,mirror
1924-04-01,17.0,,,0.591715976331364,mirror
1924-05-01,17.0,,,0.591715976331364,mirror
1924-06-01,17.0,,,0.0,mirror
1924-07-01,17.1,,,-0.5813953488371992,mirror
1924-08-01,17.0,,,-0.5847953216374324,mirror
1924-09-01,17.1,,,-0.5813953488371992,mirror
1924-10-01,17.2,,,-0.5780346820809301,mirror
1924-11-01,17.2,,,-0.5780346820809301,mirror
1924-12-01,17.3,,,0.0,mirror
1925-01-01,17.3,,,0.0,mirror
1925-02-01,17.2,,,0.0,mirror
1925-03-01,17.3,,,1.1695906432748426,mirror
1925-04-01,17.2,,,1.17647058823529,mirror
1925-05-01,17.3,,,1.764705882352935,mirror
1925-06-01,17.5,,,2.941176470588225,mirror
1925-07-01,17.7,,,3.50877192982455,mirror
1925-08-01,17.7,,,4.117647058823515,mirror
1925-09-01,17.7,,,3.50877192982455,mirror
1925-10-01,17.7,,,2.9069767441860517,mirror
1925-11-01,18.0,,,4.651162790697683,mirror
1925-12-01,17.9,,,3.4682080924855363,mirror
1926-01-01,17.9,,,3.4682080924855363,mirror
1926-02-01,17.9,,,4.06976744186045,mirror
1926-03-01,17.8,,,2.8901734104046284,mirror
1926-04-01,17.9,,,4.06976744186045,mirror
1926-05-01,17.8,,,2.8901734104046284,mirror
1926-06-01,17.7,,,1.1428571428571344,mirror
1926-07-01,17.5,,,-1.1299435028248594,mirror
1926-08-01,17.4,,,-1.6949152542372947,mirror
1926-09-01,17.5,,,-1.1299435028248594,mirror
1926-10-01,17.6,,,-0.5649717514124131,mirror
1926-11-01,17.7,,,-1.6666666666666718,mirror
1926-12-01,17.7,,,-1.1173184357541888,mirror
1927-01-01,17.5,,,-2.2346368715083775,mirror
1927-02-01,17.4,,,-2.7932960893854775,mirror
1927-03-01,17.3,,,-2.8089887640449396,mirror
1927-04-01,17.3,,,-3.351955307262555,mirror
1927-05-01,17.4,,,-2.2471910112359716,mirror
1927-06-01,17.6,,,-0.5649717514124131,mirror
1927-07-01,17.3,,,-1.1428571428571344,mirror
1927-08-01,17.2,,,-1.1494252873563204,mirror
1927-09-01,17.3,,,-1.1428571428571344,mirror
1927-10-01,17.4,,,-1.1363636363636576,mirror
1927-11-01,17.3,,,-2.259887005649708,mirror
1927-12-01,17.3,,,-2.259887005649708,mirror
1928-01-01,17.3,,,-1.1428571428571344,mirror
1928-02-01,17.1,,,-1.724137931034464,mirror
1928-03-01,17.1,,,-1.1560693641618491,mirror
1928-04-01,17.1,,,-1.1560693641618491,mirror
1928-05-01,17.2,,,-1.1494252873563204,mirror
1928-06-01,17.1,,,-2.840909090909094,mirror
1928-07-01,17.1,,,-1.1560693641618491,mirror
1928-08-01,17.1,,,-0.5813953488371992,mirror
1928-09-01,17.3,,,0.0,mirror
1928-10-01,17.2,,,-1.1494252873563204,mirror
1928-11-01,17.2,,,-0.5780346820809301,mirror
1928-12-01,17.1,,,-1.1560693641618491,mirror
1929-01-01,17.1,,,-1.1560693641618491,mirror
1929-02-01,17.1,,,0.0,mirror
1929-03-01,17.0,,,-0.5847953216374324,mirror
1929-04-01,16.9,,,-1.1695906432748648,mirror
1929-05-01,17.0,,,-1.1627906976744096,mirror
1929-06-01,17.1,,,0.0,mirror
1929-07-01,17.3,,,1.1695906432748426,mirror
1929-08-01,17.3,,,1.1695906432748426,mirror
1929-09-01,17.3,,,0.0,mirror
1929-10-01,17.3,,,0.5813953488372103,mirror
1929-11-01,17.3,,,0.5813953488372103,mirror
1929-12-01,17.2,,,0.5847953216374213,mirror
1930-01-01,17.1,,,0.0,mirror
1930-02-01,17.0,,,-0.5847953216374324,mirror
1930-03-01,16.9,,,-0.5882352941176561,mirror
1930-04-01,17.0,,,0.591715976331364,mirror
1930-05-01,16.9,,,-0.5882352941176561,mirror
1930-06-01,16.8,,,-1.7543859649122862,mirror
1930-07-01,16.6,,,-4.046242774566466,mirror
1930-08-01,16.5,,,-4.624277456647407,mirror
1930-09-01,16.6,,,-4.046242774566466,mirror
1930-10-01,16.5,,,-4.624277456647407,mirror
1930-11-01,16.4,,,-5.202312138728338,mirror
1930-12-01,16.1,,,-6.3953488372092915,mirror
1931-01-01,15.9,,,-7.017543859649134,mirror
1931-02-01,15.7,,,-7.647058823529418,mirror
1931-03-01,15.6,,,-7.692307692307687,mirror
1931-04-01,15.5,,,-8.823529411764708,mirror
1931-05-01,15.3,,,-9.467455621301768,mirror
1931-06-01,15.1,,,-10.119047619047628,mirror
1931-07-01,15.1,,,-9.036144578313266,mirror
1931-08-01,15.1,,,-8.484848484848484,mirror
1931-09-01,15.0,,,-9.63855421686748,mirror
1931-10-01,14.9,,,-9.696969696969692,mirror
1931-11-01,14.7,,,-10.365853658536583,mirror
1931-12-01,14.6,,,-9.316770186335411,mirror
1932-01-01,14.3,,,-10.062893081761004,mirror
1932-02-01,14.1,,,-10.191082802547768,mirror
1932-03-01,14.0,,,-10.256410256410254,mirror
