race_id,office,state,district,special,new_map,redistricting_status,lean_vintage,incumbent_party,open_seat,note,lean,lean_source,lag_margin,lag_cycle,inc_status,incumbency,fund_dem,fund_rep,fund_share_dem,fund_logratio,provenance
H-AL-01,House,AL,1,False,False,census_map,2022,R,,,-31.6703,538_2022,-56.900931927458814,2024.0,incumbent_running,-1.0,,,,,mirror
H-AL-02,House,AL,2,False,False,census_map,2022,D,,,-33.47084,538_2022,9.192057278181672,2024.0,incumbent_running,1.0,,,,,mirror
H-AL-03,House,AL,3,False,False,census_map,2022,R,,,-39.00137,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-AL-04,House,AL,4,False,False,census_map,2022,R,,,-64.80537,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-AL-05,House,AL,5,False,False,census_map,2022,R,,,-32.03314,538_2022,,,incumbent_running,-1.0,,,,,mirror
H-AL-06,House,AL,6,False,False,census_map,2022,R,,,-35.87194,538_2022,-40.74633970429139,2024.0,incumbent_running,-1.0,,,,,mirror
H-AL-07,House,AL,7,False,False,census_map,2022,D,,,28.7539,538_2022,27.42343632767205,2024.0,incumbent_running,1.0,,,,,mirror
H-AK-01,House,AK,1,False,False,census_map,2022,R,,,-14.6111,538_2022,-2.072578173132662,2024.0,incumbent_running,-1.0,,,,,mirror
H-AZ-01,House,AZ,1,False,False,census_map,2022,R,,,-6.512875,538_2022,-3.8140040137720277,2024.0,incumbent_running,-1.0,,,,,mirror
H-AZ-02,House,AZ,2,False,False,census_map,2022,R,,,-15.10014,538_2022,-8.968311964392484,2024.0,incumbent_running,-1.0,,,,,mirror
H-AZ-03,House,AZ,3,False,False,census_map,2022,D,,,44.18386,538_2022,44.3575087224408,2024.0,incumbent_running,1.0,,,,,mirror
H-AZ-04,House,AZ,4,False,False,census_map,2022,D,,,1.464125,538_2022,7.286314247709576,2024.0,incumbent_running,1.0,,,,,mirror
H-AZ-05,House,AZ,5,False,False,census_map,2022,R,,,-23.90548,538_2022,-20.776361420053476,2024.0,incumbent_running,-1.0,,,,,mirror
H-AZ-06,House,AZ,6,False,False,census_map,2022,R,,,-6.932475,538_2022,-2.5096238578915546,2024.0,incumbent_running,-1.0,,,,,mirror
H-AZ-07,House,AZ,7,False,False,census_map,2022,D,,,27.01756,538_2022,26.89817018497405,2024.0,incumbent_running,1.0,,,,,mirror
H-AZ-08,House,AZ,8,False,False,census_map,2022,R,,,-21.53168,538_2022,-13.001440535195457,2024.0,incumbent_running,-1.0,,,,,mirror
H-AZ-09,House,AZ,9,False,False,census_map,2022,R,,,-33.10751,538_2022,-30.595490067316717,2024.0,incumbent_running,-1.0,,,,,mirror
H-AR-01,House,AR,1,False,False,census_map,2022,R,,,-43.32125,538_2022,-48.88070455166425,2024.0,incumbent_running,-1.0,,,,,mirror
H-AR-02,House,AR,2,False,False,census_map,2022,R,,,-16.87272,538_2022,-17.869572882861114,2024.0,incumbent_running,-1.0,,,,,mirror
H-AR-03,House,AR,3,False,False,census_map,2022,R,,,-28.57066,538_2022,-32.033917444965525,2024.0,incumbent_running,-1.0,,,,,mirror
H-AR-04,House,AR,4,False,False,census_map,2022,R,,,-38.83622,538_2022,-45.8233581125834,2024.0,incumbent_running,-1.0,,,,,mirror
H-CA-01,House,CA,1,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-02,House,CA,2,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-03,House,CA,3,False,True,new_map,manual,I,,,25.74527,state_fallback_new_map,,,incumbent_running,0.0,,,,,mirror
H-CA-04,House,CA,4,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-05,House,CA,5,False,True,new_map,manual,R,,,25.74527,state_fallback_new_map,,,incumbent_running,-1.0,,,,,mirror
H-CA-06,House,CA,6,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-07,House,CA,7,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
H-CA-08,House,CA,8,False,True,new_map,manual,D,,,25.74527,state_fallback_new_map,,,incumbent_running,1.0,,,,,mirror
