pollster,house_effect,n_polls,historical_bias_prior,provenance
Data for Progress,2.8507510226259662,49,0.7922058823529411,fixture
Cygnal,-0.5528307921008001,47,1.6643396226415095,fixture
Quinnipiac University,-0.7654635103035147,50,-0.1302255639097744,fixture
Fox News/Beacon-Shaw,1.3810781759961879,33,0.0,fixture
Marist,-0.6272226380822173,43,0.0,fixture
YouGov/Economist,0.8355997787766709,27,0.0,fixture
Rasmussen Reports,-3.7077576560745826,36,-1.659075,fixture
Trafalgar Group,-2.497543989192903,52,-2.8743529411764706,fixture
Siena/NYT,0.18281404217890426,43,0.0,fixture
Emerson College,0.07019763389064794,48,-0.36374301675977644,fixture
Public Policy Polling,2.194128927727438,39,1.1937394957983194,fixture
Morning Consult,1.471345090208821,43,2.4476,fixture
