race_id,poll_margin,poll_sd,poll_sd_election,n_polls,last_poll_date,days_since_last_poll,provenance
G-AK,-6.571777252097539,2.3494636886336293,2.666004430642969,6,2026-09-13,2,fixture
G-AZ,-6.090337248549587,3.623063311654015,3.835907684010834,3,2026-08-07,39,fixture
G-CO,-1.5793006072579816,3.100777323795964,3.3470016450201006,4,2026-07-15,62,fixture
G-FL,-7.2976286954646765,2.7401002131744336,3.015915976654286,5,2026-07-15,62,fixture
G-GA,-4.133194353023997,4.388492533810398,4.565793109560442,2,2026-07-17,60,fixture
G-IA,-8.138754879784813,2.771152376406467,3.044155957447517,4,2026-08-20,26,fixture
G-IL,18.36117715131997,4.334895003353178,4.5143011297537905,2,2026-08-31,15,fixture
G-KS,-13.842509875337829,5.113303562777328,5.266258000241852,1,2026-07-20,57,fixture
G-ME,10.726382814175606,4.790533515291452,4.953464581596468,1,2026-07-31,46,fixture
G-MI,3.682951973706054,3.549252156726321,3.7662701538825436,4,2026-08-04,42,fixture
G-NH,-1.114949217035507,2.5223557302491826,2.819552877660018,5,2026-09-02,13,fixture
G-NV,-4.157187620783575,2.819955673213029,3.0886485716064147,5,2026-08-22,24,fixture
G-PA,-4.8187967270294525,6.880265530580456,6.994687539218143,1,2026-04-27,141,fixture
G-SC,-15.382737532507646,3.974233153922039,4.169188069844429,2,2026-08-11,35,fixture
G-TX,-7.1660049683775675,3.9487266762832713,4.14488146561408,2,2026-05-26,112,fixture
G-WI,-3.6563206057186495,3.2591114227286826,3.494196225995412,3,2026-07-27,50,fixture
GENERIC,3.085232855379241,0.7698974638461887,1.0405489439890818,90,2026-09-14,1,fixture
H-AK-01,-6.130395578444341,5.8823957827875235,6.015827469713243,1,2026-05-28,110,fixture
H-AR-02,-3.9775241269304713,6.152151863705293,6.279854501028866,1,2026-07-06,71,fixture
H-AZ-01,-13.848392353463787,3.8699276018312925,4.069882018365606,2,2026-07-29,48,fixture
H-AZ-02,-13.567118315905896,6.298109610438101,6.42291091835258,1,2026-04-29,139,fixture
H-AZ-04,0.7120400667848237,2.3339649701525866,2.652356024725822,5,2026-09-15,0,fixture
H-AZ-06,-11.756308935505736,4.552487176560502,4.723636257455459,2,2026-07-14,63,fixture
H-AZ-08,-23.32908299661823,5.902392025891357,6.035381647195633,1,2026-08-05,41,fixture
H-CA-01,-13.164129377373138,6.060644189524596,6.190234889890548,1,2026-07-31,46,fixture
H-CA-03,0.9733458528601789,4.6581342350457495,4.825537747412743,1,2026-09-04,11,fixture
