cycle,office,mean_bias,n_races,provenance
2014,Generic,3.423333333333333,1,mirror
2014,Governor,3.784304330909152,35,mirror
2014,House,4.447397660818713,57,mirror
2014,Senate,3.1972027204821325,34,mirror
2016,Generic,3.4760000000000004,1,mirror
2016,Governor,4.171335978835979,12,mirror
2016,House,4.0414102564102565,26,mirror
2016,Senate,4.569853527020986,32,mirror
2018,Generic,-1.3777777777777778,1,mirror
2018,Governor,-0.13890956439393953,32,mirror
2018,House,-0.2473013605442177,105,mirror
2018,Senate,0.20858564680933098,26,mirror
2020,Generic,4.6875,1,mirror
2020,Governor,8.339824561403509,8,mirror
2020,House,6.850679012345679,54,mirror
2020,Senate,6.647209970313788,28,mirror
2022,Generic,2.2673584905660378,1,mirror
2022,Governor,1.5770585211889558,31,mirror
2022,House,-1.9394684684684684,37,mirror
2022,Senate,1.1061541884253554,27,mirror
2014,All,3.9218940478599436,127,mirror
2016,All,4.2935776236249295,71,mirror
2018,All,-0.1607701212102689,164,mirror
2020,All,6.895215849743746,91,mirror
2022,All,0.09647919168307223,96,mirror
