horizon_days,subset,component,weight,n_rows,provenance
1,polled_all_cycles,hier,0.9851490264519153,538,mirror
1,polled_all_cycles,fund,0.014850973548084742,538,mirror
1,polled_rated,hier,0.9267967720585685,161,mirror
1,polled_rated,fund,0.07320322794143161,161,mirror
1,polled_rated,rating,0.0,161,mirror
1,unpolled_rated,fund,0.9888565030331398,296,mirror
1,unpolled_rated,hier,0.0,296,mirror
1,unpolled_rated,rating,0.011143496978948812,296,mirror
3,polled_all_cycles,hier,0.9848057978439564,534,mirror
3,polled_all_cycles,fund,0.015194202156043597,534,mirror
3,polled_rated,hier,0.9273026766290202,161,mirror
3,polled_rated,fund,0.07269732337642201,161,mirror
3,polled_rated,rating,0.0,161,mirror
3,unpolled_rated,fund,0.9888565010837951,296,mirror
3,unpolled_rated,hier,1.3694348780243852e-11,296,mirror
3,unpolled_rated,rating,0.01114349890251069,296,mirror
7,polled_all_cycles,hier,0.984485214081534,507,mirror
7,polled_all_cycles,fund,0.01551478591846606,507,mirror
7,polled_rated,hier,0.9393476251699437,142,mirror
7,polled_rated,fund,0.060652374841282136,142,mirror
7,polled_rated,rating,0.0,142,mirror
7,unpolled_rated,fund,0.9888218901116642,315,mirror
7,unpolled_rated,hier,9.235432885290362e-12,315,mirror
7,unpolled_rated,rating,0.011178109879100373,315,mirror
14,polled_all_cycles,hier,0.9812976565830817,364,mirror
14,polled_all_cycles,fund,0.018702343416918395,364,mirror
14,polled_rated,hier,0.941562808723919,84,mirror
14,polled_rated,rating,1.6422341931412146e-13,84,mirror
14,polled_rated,fund,0.05843719127591682,84,mirror
14,unpolled_rated,fund,0.9886916089440594,373,mirror
14,unpolled_rated,hier,2.4255905500536375e-11,373,mirror
14,unpolled_rated,rating,0.011308391031684822,373,mirror
21,polled_all_cycles,hier,0.9999999999970397,82,mirror
21,polled_all_cycles,fund,2.9602986728605174e-12,82,mirror
21,unpolled_rated,fund,0.9802974218352468,428,mirror
21,unpolled_rated,hier,0.0,428,mirror
21,unpolled_rated,rating,0.01970257818394448,428,mirror
