bin,n,forecast,observed
"(-0.001, 0.1]",758,0.010356198172860112,0.011873350923482849
"(0.1, 0.2]",56,0.14547597054469535,0.07142857142857142
"(0.2, 0.3]",47,0.2568439842113877,0.2978723404255319
"(0.3, 0.4]",51,0.35529528069355776,0.35294117647058826
"(0.4, 0.5]",54,0.4565552845106052,0.5925925925925926
"(0.5, 0.6]",58,0.546541935279702,0.7068965517241379
"(0.6, 0.7]",39,0.648563422826522,0.7692307692307693
"(0.7, 0.8]",55,0.7532970791013924,0.8545454545454545
"(0.8, 0.9]",58,0.8534574153145427,0.896551724137931
"(0.9, 1.0]",558,0.9879436930646177,0.992831541218638
