race_id,office,state,margin,winner_party,new_map,fund_margin,fund_sd_idio,fund_nat_loading,fund_sd_total,nat_fund_mean,nat_fund_sd,poll_margin,poll_sd,n_polls,fund_sd,state_offset,state_offset_sd,hier_margin,hier_sd,hier_sd_idio,poll_weight_in_hier,rating_margin,rating_sd,rating_pwin,dem_won,cycle,horizon_days,w_hier,w_fund,w_rating,blend_margin,blend_sd_idio,p_blend,p_fund,p_polls,p_hier,p_rating,rating
G-AK,Governor,AK,-21.389817012240826,R,False,-21.747855312209996,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,-15.45312083083855,2.402997582458459,5.0,14.172052721708157,0.5500659618901146,1.910617603176861,-15.587817457182465,2.374658648137492,2.374658648137492,0.9765527591562277,,,,0.0,2010,1,0.987865330342493,0.012134669657506984,0.0,-15.662567481630964,2.9090659342239844,0.008862502002908808,0.07652950137431339,0.006121421268417947,0.0052824547240423484,,
G-AL,Governor,AL,-15.710783772443186,R,False,-26.6937987992089,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,-11.957941256315458,4.964237070186171,1.0,14.172052721708157,0.9118208896796578,1.9371342809475305,-13.242327413636401,4.728003518065841,4.728003518065841,0.907090368063922,,,,0.0,2010,1,0.987865330342493,0.012134669657506984,0.0,-13.405556575307731,5.166139781064711,0.04159941171224746,0.03973647486375302,0.056489623361752915,0.03294475569280079,,
G-AR,Governor,AR,30.787385148201842,D,False,3.372151085251255,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,21.34396743755371,2.510069129023355,4.0,14.172052721708157,-1.2475358855860894,1.8305112540820865,20.85272464873843,2.4777830554474076,2.4777830554474076,0.9744402005470894,,,,1.0,2010,1,0.987865330342493,0.012134669657506984,0.0,20.640603663121762,3.487853680939248,0.9986602286801494,0.5876665361173894,0.9997051914354653,0.9996637161070552,,
G-AZ,Governor,AZ,-11.862811986243706,R,False,10.459429664951747,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,-10.082156326063417,2.7458865938807895,4.0,14.172052721708157,1.4949738488220476,1.7293879662122196,-9.410498084687136,2.7037164702826,2.7037164702826,0.9695207307194078,,,,0.0,2010,1,0.987865330342493,0.012134669657506984,0.0,-9.169383075326737,3.7935987699461946,0.09588762227285297,0.7540130429790703,0.05504940722142753,0.06498217282467082,,
G-CA,Governor,CA,12.884934748595498,D,False,-27.333175368000276,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,6.529919744692755,1.1203744198251784,27.0,14.172052721708157,-2.381042652101927,1.6531986772985676,6.34101457266428,1.1174508985266385,1.1174508985266385,0.9947879799692195,,,,1.0,2010,1,0.987865330342493,0.012134669657506984,0.0,5.932389401750171,4.154985442569873,0.792454137299764,0.03626645287217264,0.8702600910010891,0.8638708786117987,,
G-CO,Governor,CO,39.909923776509245,D,False,4.464567684751962,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,,,,14.172052721708157,-3.105118701230653,1.81157434264315,1.3594489835213093,15.496092408920337,15.496092408920337,0.0,,,,1.0,2010,1,0.0,1.0,0.0,4.464567684751962,14.172052721708157,0.6153600857143292,0.6153600857143292,,0.5331550306732868,,
G-CT,Governor,CT,0.5589112924692614,D,False,-33.59225475563808,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,1.248954126216743,1.5908833885253144,11.0,14.172052721708157,-1.732746644144984,1.6263872988190888,0.8664890680987192,1.5825433501426838,1.5825433501426838,0.989542693629456,,,,1.0,2010,1,0.987865330342493,0.012134669657506984,0.0,0.448343594985014,4.375521444455184,0.5241677212028332,0.013657969228216585,0.5838244941897477,0.5586851844595094,,
G-FL,Governor,FL,-1.148377671657265,R,False,-21.58292747811228,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,-0.28664690208376514,1.1383915846372459,21.0,14.172052721708157,1.0017997225825568,1.703665356577372,-0.3957563329557871,1.1353272871076563,1.1353272871076563,0.9946236894818872,,,,0.0,2010,1,0.987865330342493,0.012134669657506984,0.0,-0.652855655779325,3.015235826094522,0.4611539227099195,0.0780991926564825,0.4802724872123359,0.47269979283128044,,
G-GA,Governor,GA,-10.04677114512642,R,False,-28.93130309158981,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,-8.018766536658893,1.7424996012140266,7.0,14.172052721708157,-1.1732943716260307,1.67020009087571,-8.295102714036885,1.7315642791757047,1.7315642791757047,0.9874880787461924,,,,0.0,2010,1,0.987865330342493,0.012134669657506984,0.0,-8.54551618860461,3.240990584718883,0.10384503353639984,0.028667130311625377,0.08861168421866167,0.08006207499220602,,
G-HI,Governor,HI,17.098621664928388,D,False,-33.259760892072926,14.172052721708157,0.6893530576161704,14.549147676552678,-4.811990095453317,4.774027852009325,4.435341945984769,3.0936695251234774,3.0,14.172052721708157,-2.828797289621758,1.734619261980148,2.8803934593412674,3.0337351412500593,3.0337351412500593,0.961628854040596,,,,1.0,2010,1,0.987865330342493,0.012134669657506984,0.0,2.441844624915543,5.214017387351747,0.6218547682876552,0.01443970817361647,0.7535220015695373,0.6750433830436194,,
