dem_seats,count,prob
12,2,2.881014116969173e-05
13,10,0.00014405070584845865
14,44,0.0006338231057332181
15,142,0.002045520023048113
16,385,0.005545952175165659
17,993,0.014304235090751944
18,2179,0.031388648804379145
19,3843,0.05535868625756266
20,5879,0.08468740996830884
21,7925,0.11416018438490348
22,9353,0.13473062518006337
23,9668,0.13926822241428982
24,8894,0.12811869778161913
25,7238,0.10426390089311438
26,5355,0.07713915298184962
27,3473,0.050028810141169694
28,2094,0.030164217804667243
29,1073,0.015456640737539613
30,525,0.00756266205704408
31,240,0.003457216940363008
32,76,0.0010947853644482858
33,25,0.0003601267646211466
34,3,4.3215211754537596e-05
35,1,1.4405070584845865e-05
