dem_seats,count,prob
177,1,1.4405070584845865e-05
183,1,1.4405070584845865e-05
184,1,1.4405070584845865e-05
186,2,2.881014116969173e-05
187,3,4.3215211754537596e-05
188,7,0.00010083549409392106
189,1,1.4405070584845865e-05
190,7,0.00010083549409392106
191,2,2.881014116969173e-05
192,8,0.00011524056467876692
193,10,0.00014405070584845865
194,22,0.00031691155286660906
195,26,0.0003745318352059925
196,33,0.0004753673292999136
197,53,0.0007634687409968308
198,64,0.0009219245174301354
199,59,0.0008498991645059061
200,98,0.0014116969173148949
201,118,0.0016997983290118121
202,141,0.002031114952463267
203,152,0.0021895707288965716
204,202,0.002909824258138865
205,241,0.0034716220109478535
206,295,0.00424949582252953
207,352,0.005070584845865745
208,420,0.006050129645635264
209,546,0.007865168539325843
210,642,0.009248055315471047
211,752,0.010832613079804092
212,855,0.012316335350043216
213,998,0.014376260443676174
214,1080,0.015557476231633534
215,1219,0.01755978104292711
216,1389,0.020008643042350907
217,1528,0.022010947853644484
218,1667,0.02401325266493806
219,1735,0.02499279746470758
220,1858,0.02676462114664362
221,1997,0.028766925957937194
222,2103,0.030293863439930856
223,2244,0.03232497839239412
224,2241,0.032281763180639585
225,2235,0.03219533275713051
226,2347,0.033808700662633244
227,2475,0.03565254969749352
228,2516,0.036243157591472196
229,2409,0.03470181503889369
230,2355,0.033923941227312016
231,2215,0.03190723134543359
232,2207,0.03179199078075483
233,2119,0.03052434456928839
234,2041,0.029400749063670413
235,2032,0.0292711034284068
236,1892,0.027254393546528376
237,1726,0.024863151829443965
238,1669,0.02404206280610775
239,1569,0.022601555747623164
240,1376,0.01982137712474791
241,1322,0.019043503313166236
242,1151,0.016580236243157593
243,1035,0.014909248055315471
244,992,0.014289830020167099
245,942,0.013569576490924806
246,805,0.011596081820800921
247,755,0.010875828291558629
248,680,0.00979544799769519
249,571,0.00822529530394699
250,486,0.007000864304235091
251,393,0.005661192739844425
252,337,0.004854508787093057
253,279,0.004019014693171997
254,253,0.003644482857966004
255,198,0.0028522039757994814
256,165,0.0023768366464995676
257,129,0.0018582541054451168
258,107,0.0015413425525785077
259,77,0.0011091904350331316
260,76,0.0010947853644482858
261,55,0.0007922788821665227
262,58,0.0008354940939210603
263,50,0.0007202535292422932
264,34,0.0004897723998847594
265,21,0.00030250648228176316
266,19,0.00027369634111207145
267,18,0.0002592912705272256
268,15,0.000216076058772688
269,6,8.643042350907519e-05
270,13,0.00018726591760299626
271,6,8.643042350907519e-05
272,7,0.00010083549409392106
273,1,1.4405070584845865e-05
274,5,7.202535292422933e-05
275,1,1.4405070584845865e-05
276,1,1.4405070584845865e-05
277,1,1.4405070584845865e-05
